,year,state_po,candidate,party,candidatevotes,totalvotes,votepercent,disbursements
2040,2004,MD,Barbara A. Mikulski,democrat,1504691.0,2321931.0,64.80343300468446,6610221
2041,2004,MD,E. J. Pipkin,republican,783055.0,2321931.0,33.72430102358769,6656054
2046,2004,MO,Nancy Farmer,democrat,1158261.0,2706402.0,42.797078926190565,3553458
2048,2004,MO,Christopher S. Bond,republican,1518089.0,2706402.0,56.09251692837945,8316771
2070,2004,NC,Erskine Bowles,democrat,1632527.0,3472082.0,47.018676402227825,19359764
2073,2004,NC,Richard Burr,republican,1791450.0,3472082.0,51.595843646549824,12856982
2074,2004,ND,Byron L. Dorgan,democrat,212143.0,310696.0,68.27992635888457,3114959
2075,2004,ND,Mike Liffrig,republican,98553.0,310696.0,31.72007364111543,381125
2057,2004,NH,Doris R. Haddock,democrat,221549.0,657086.0,33.716895505306766,177199
2059,2004,NH,Judd Gregg,republican,434847.0,657086.0,66.17809540912452,2516901
2050,2004,NV,Richard Ziser,republican,284640.0,810068.0,35.137790901504566,1210298
2051,2004,NV,Harry Reid,democrat,494805.0,810068.0,61.08190917305708,7595323
2067,2004,NY,Howard Mills,republican,1625069.0,7447818.0,21.81939730535843,628578
2068,2004,NY,Charles E. Schumer,democrat,4384907.0,7447818.0,58.87505575458477,18153522
2077,2004,OH,Eric D. Fingerhut,democrat,1961171.0,5425823.0,36.145134111451846,1166538
2078,2004,OH,George V. Voinovich,republican,3464356.0,5425823.0,63.84941049496086,9978829
2079,2004,OK,Brad Carson,democrat,596750.0,1446846.0,41.24488715454167,6288528
2080,2004,OK,Sheila Bilyeu,independent,86663.0,1446846.0,5.989787441096012,-1
2081,2004,OK,Tom Coburn,republican,763433.0,1446846.0,52.765325404362315,5138066
2085,2004,OR,Al King,republican,565254.0,1780550.0,31.746033528965768,35718
2086,2004,OR,Ron Wyden,democrat,1128728.0,1780550.0,63.39209794726348,3478307
2090,2004,PA,Arlen Specter,republican,2925080.0,5559105.0,52.61782247322186,21885111
2092,2004,PA,Joseph M. Hoeffel,democrat,2334126.0,5559105.0,41.987442223163626,4540209
2097,2004,SC,Jim DeMint,republican,857167.0,1597221.0,53.66614889235741,9701108
2098,2004,SC,Inez Tenenbaum,democrat,704384.0,1597221.0,44.10059722480483,6265786
2101,2004,SD,Tom Daschle,democrat,193340.0,391188.0,49.423806456230764,21351871
2102,2004,SD,John Thune,republican,197848.0,391188.0,50.576193543769236,14666225
2103,2004,UT,R. Paul Van Dam,democrat,258955.0,911726.0,28.4027218703865,116959
2104,2004,UT,Robert F. Bennett,republican,626640.0,911726.0,68.73117581378617,2956741
2112,2004,VT,Jack McMullen,republican,75398.0,307208.0,24.54298065154553,782637
2113,2004,VT,Patrick J. Leahy,democrat,216972.0,307208.0,70.62706700346345,1975348
2115,2004,WA,Patty Murray,democrat,1549708.0,2818651.0,54.980485345649384,12479970
2117,2004,WA,George R. Nethercutt,republican,1204584.0,2818651.0,42.73618833974125,7726296
2121,2004,WI,Russel D. Feingold,democrat,1632697.0,2949743.0,55.35048307598323,11230624
2122,2004,WI,Tim Michels,republican,1301183.0,2949743.0,44.1117412601708,10323087
2124,2006,AZ,Jim Pederson,democrat,664141.0,1526782.0,43.49939939035173,37215033
2126,2006,AZ,Jon Kyl,republican,814398.0,1526782.0,53.340817484093996,16103008
2130,2006,CA,Dianne Feinstein,democrat,5076289.0,8541476.0,59.43105149508118,9403030
2134,2006,CA,"Richard \Dick\"" Mountjoy""",republican,2990822.0,8541476.0,35.015283072855325,195265
2135,2006,CT,Joseph I. Lieberman,connecticut for lieberman,564095.0,1134777.0,49.70976676474761,19099162
2137,2006,CT,Alan Schlesinger,republican,109198.0,1134777.0,9.622859821797586,204113
2139,2006,CT,Ned Lamont,democrat,450844.0,1134777.0,39.72974425812296,65760217
2141,2006,DE,Jan Ting,republican,69734.0,242972.0,28.700426386579526,212765
2143,2006,DE,Thomas R. Carper,democrat,170567.0,242972.0,70.20026998995769,3708592
2147,2006,FL,Bill Nelson,democrat,2890548.0,4793534.0,60.30098044574211,17112000
2151,2006,FL,Katherine Harris,republican,1826127.0,4793534.0,38.09563048890443,15334232
2153,2006,HI,Cynthia Thielen,republican,126097.0,342842.0,36.77991611296166,356413
2154,2006,HI,Daniel K. Akaka,democrat,210330.0,342842.0,61.34895957904808,3193721
2155,2006,IN,Richard G. Lugar,republican,1171553.0,1341111.0,87.35690036096938,3837321
2157,2006,IN,Steve Osborn,libertarian,168820.0,1341111.0,12.58807063695697,-1
2168,2006,MA,Edward M. Kennedy,democrat,1500738.0,2243835.0,66.88272533408205,12558114
2171,2006,MA,Kenneth G. Chase,republican,661532.0,2243835.0,29.482203459701807,853730
2165,2006,MD,Michael S. Steele,republican,787182.0,1781139.0,44.195427757182344,8219686
2167,2006,MD,Benjamin L. Cardin,democrat,965477.0,1781139.0,54.205595408331405,8676056
2160,2006,ME,Olympia J. Snowe,republican,405596.0,545128.0,74.40380974743547,3157047
2162,2006,ME,Jean M. Hay Bright,democrat,113131.0,545128.0,20.75310752703952,126824
2173,2006,MI,Debbie Stabenow,democrat,2151278.0,3780142.0,56.909978514034655,12426995
2177,2006,MI,Michael Bouchard,republican,1559597.0,3780142.0,41.25763000437549,6050148
2179,2006,MN,Mark R. Kennedy,republican,835653.0,2202772.0,37.936427374235734,9721994
2182,2006,MN,Amy Klobuchar,democratic-farmer-labor,1278849.0,2202772.0,58.05634900025968,9092974
2189,2006,MO,James M. Talent,republican,1006941.0,2128459.0,47.30845179540692,15382811
2191,2006,MO,Claire McCaskill,democrat,1055255.0,2128459.0,49.57835692395297,11983906
2185,2006,MS,Trent Lott,republican,388399.0,610921.0,63.57597790876398,3186225
2186,2006,MS,Erik R. Fleming,democrat,213000.0,610921.0,34.86539176096418,38495
2192,2006,MT,Conrad Burns,republican,196283.0,406505.0,48.28550694333403,9181004
2194,2006,MT,Jon Tester,democrat,199845.0,406505.0,49.16175692795907,5589653
2226,2006,ND,Dwight Grotberg,republican,64417.0,218152.0,29.528493894165535,259081
2227,2006,ND,Kent Conrad,democrat,150146.0,218152.0,68.82632293080054,4142781
2195,2006,NE,Pete Ricketts,republican,213928.0,592316.0,36.1172077066971,43437690
2196,2006,NE,E. Benjamin Nelson,democrat,378388.0,592316.0,63.882792293302906,7312507
2202,2006,NJ,"Thomas H. Kean, Jr.",republican,41998.0,101973.0,41.18541182469869,7762373
2203,2006,NJ,Robert Menendez,democrat,58333.0,101973.0,57.20435801633765,13328665
2211,2006,NM,Allen W. McCulloch,republican,163826.0,558550.0,29.33058812997941,555511
2213,2006,NM,Jeff Bingaman,democrat,394365.0,558550.0,70.60513830453854,3387019
2200,2006,NV,John Ensign,republican,322501.0,582572.0,55.358135990057875,5315993
2201,2006,NV,Jack Carter,democrat,238796.0,582572.0,40.98995488969604,2264708
2216,2006,NY,John Spencer,republican,1212902.0,4700632.0,25.802955857850602,5660688
2222,2006,NY,Hillary Rodham Clinton,democrat,2698931.0,4700632.0,57.41634316406815,40891327
2229,2006,OH,Mike DeWine,republican,1761037.0,4019236.0,43.815217618472765,16084478
2230,2006,OH,Sherrod Brown,democrat,2257369.0,4019236.0,56.16413169069943,10752666
2231,2006,PA,"Bob Casey, Jr.",democrat,2392984.0,4081043.0,58.6365789333756,17605419
2233,2006,PA,Rick Santorum,republican,1684778.0,4081043.0,41.28302495219972,28414203
2234,2006,RI,Lincoln Chafee,republican,178950.0,384993.0,46.48136459623941,7083138
2235,2006,RI,Sheldon Whitehouse,democrat,206043.0,384993.0,53.518635403760584,6428954
2237,2006,TN,"Harold E. Ford, Jr.",democrat,879976.0,1833695.0,47.989223944003776,15302455
2245,2006,TN,Bob Corker,republican,929911.0,1833695.0,50.71241400560071,37781092
2247,2006,TX,Barbara Ann Radnofsky,democrat,1555202.0,4314663.0,36.044576366682634,1425867
2248,2006,TX,Kay Bailey Hutchison,republican,2661789.0,4314663.0,61.69170106680406,6605006
